Build No.,CPU,Motherboard,RAM,GPU,PSU
1,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-6600,RTX 4070 Ti,1000 W
2,AMD Ryzen 5 5600X,B550-F,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
3,AMD Ryzen 5 5600,B550,32 GB (2 x 16 GB) DDR4-3200,RTX 4060,650 W
4,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
5,AMD Ryzen 5 5600X,B550M-VC,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,600 W
6,Intel Core i5-13600KF,B760MZ-E,32 GB (2 x 16 GB) DDR5-5600,RTX 4060 Ti,750 W
7,AMD Ryzen 7 7700X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
8,AMD Ryzen 7 7700X,B650,64 GB (2 x 32 GB) DDR5-6400,RTX 4060,750 W
9,AMD Ryzen 9 7950X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
10,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
11,AMD Ryzen 7 7700X,X670E,64 GB (2 x 32 GB) DDR5-5200,RTX 4080,1000 W
12,AMD Ryzen 5 5600,Gigabyte A520I AC Mini ITX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,1000 W
13,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
14,AMD Ryzen 9 7900X,B650-A,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
15,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
16,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
17,Intel Core i5-13600KF,B760M-A,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,750 W
18,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
19,AMD Ryzen 5 5600,B550,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,650 W
20,AMD Ryzen 7 7700X,B650M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
21,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,1200 W
22,Intel Core i7-13700KF,Z790,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1300 W
23,AMD Ryzen 5 5600,B550-A,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,750 W
24,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,850 W
25,AMD Ryzen 5 5600X,B550,16 GB (2 x 8 GB) DDR4-3600,RTX 4060,600 W
26,AMD Ryzen 9 7950X,X670E-CREATOR,192 GB (4 x 48 GB) DDR5-5200,RTX 4090,1000 W
27,Intel Core i5-13400F,B760M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
28,AMD Ryzen 7 7700X,B650I,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,600 W
29,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
30,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
31,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
32,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
33,AMD Ryzen 5 5600X,X570-PLUS,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,850 W
34,AMD Ryzen 5 5600,B550,16 GB (2 x 8 GB) DDR4-3000,RTX 4060,850 W
35,AMD Ryzen 5 5600X,X570,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
36,AMD Ryzen 5 5600X,B550M-E,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,650 W
37,AMD Ryzen 9 7900X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
38,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,750 W
39,Intel Core i7-13700KF,Z790-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
40,AMD Ryzen 9 7950X,X670E-PLUS,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,850 W
41,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1600 W
42,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,750 W
43,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,850 W
44,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,1200 W
45,AMD Ryzen 5 5600X,X570-PLUS,32 GB (4 x 8 GB) DDR4-3200,RTX 4060,550 W
46,Intel Core i5-13400F,B760-A,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
47,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
48,AMD Ryzen 5 5600,B550M-VC,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,750 W
49,AMD Ryzen 5 5600X,B550-F,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,650 W
50,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,1000 W
51,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
52,AMD Ryzen 7 7700X,X670E-PRO,32 GB (2 x 16 GB) DDR5-6200,RTX 4070,850 W
53,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
54,AMD Ryzen 9 7900X,B650,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1000 W
55,Intel Core i5-13600KF,Z790-P,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,850 W
56,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1200 W
57,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
58,AMD Ryzen 9 7900X,X670-P,32 GB (2 x 16 GB) DDR5-6400,RTX 4060 Ti,850 W
